父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
自制成品仓	AU401_拨钮阻尼底座_IP	1	100.0000%	外购半成品仓	AU401_拨钮阻尼底座骨架_IP	1		PC	1	0
自制成品仓	AU401_拨钮阻尼底座_IP	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.05	0
自制成品仓	AU401_拨钮阻尼底座_IP	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.05	0
自制成品仓	AU401_拨钮阻尼底座_R	1	100.0000%	外购半成品仓	AU401_拨钮阻尼底座骨架_R	1		PC	1	0
自制成品仓	AU401_拨钮阻尼底座_R	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.05	0
自制成品仓	AU401_拨钮阻尼底座_R	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.05	0
自制成品仓	MMA_双色传动轴	1	100.0000%	外购半成品仓	MMA_双色传动轴骨架	1		PC	1	0
自制成品仓	MMA_双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.146	0
自制成品仓	MMA_双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.146	0
自制成品仓	KM_侧左主叶片连杆	1	100.0000%	外购半成品仓	KM_侧左主叶片连杆骨架	1		PC	1	0
自制成品仓	KM_侧左主叶片连杆	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.042	0
自制成品仓	KM_侧左主叶片连杆	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.042	0
自制成品仓	KM_侧右主叶片连杆_OR	1	100.0000%	外购半成品仓	KM_侧右主叶片连杆骨架	1		PC	1	0
自制成品仓	KM_侧右主叶片连杆_OR	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.042	0
自制成品仓	KM_侧右主叶片连杆_OR	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.042	0
自制成品仓	KM_中主叶片连杆_CL	1	100.0000%	外购半成品仓	KM_中左主叶片连杆骨架	1		PC	1	0
自制成品仓	KM_中主叶片连杆_CL	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.042	0
自制成品仓	KM_中主叶片连杆_CL	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.042	0
自制成品仓	KM_中主叶片连杆_CR	1	100.0000%	外购半成品仓	KM_中右主叶片连杆骨架	1		PC	1	0
自制成品仓	KM_中主叶片连杆_CR	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.042	0
自制成品仓	KM_中主叶片连杆_CR	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.042	0
自制成品仓	KX_侧右主叶片连杆_OR	1	100.0000%	半成品仓	KX_侧右主叶片连杆_OR骨架	1		PC	1	0
自制成品仓	KX_侧右主叶片连杆_OR	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.042	0
自制成品仓	KX_侧右主叶片连杆_OR	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.042	0
自制成品仓	KX_侧右主叶片连杆_OR	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.0045	0
自制成品仓	EVA2_侧旋转支架	1	100.0000%	半成品仓	EVA2_侧旋转支架骨架	1		PC	1	0
自制成品仓	EVA2_侧旋转支架	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.09	0
自制成品仓	EVA2_侧旋转支架	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.09	0
装配成品仓	UKEA 喷漆装饰件总成	1	100.0000%	外购半成品仓	SK2湍流灰装饰件-左	1		PC	1	0
装配成品仓	UKEA 喷漆装饰件总成	1	100.0000%	外购半成品仓	SK2湍流灰装饰件-右	1		PC	1	0
装配成品仓	UKEA 喷漆装饰件总成	1	100.0000%	外购半成品仓	UKEA INS装饰件	1		PC	1	0
装配成品仓	C236 喷漆装饰件总成-哑光银	1	100.0000%	外购半成品仓	C236喷漆装饰件-哑光银	1		PC	1	0
装配成品仓	C236 喷漆装饰件总成-哑光银	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236 喷漆装饰件总成-哑光银	1	100.0000%	外购半成品仓	C236侧围装饰件-慕夜黑	1		PC	1	0
自制半成品仓	480B右固定格栅装饰条-HR	1	100.0000%	原材料仓	ABS.AG23AT	1		千克	0.0119	0
装配成品仓	V206侧底座_894组件	1	100.0000%	自制半成品仓	V206 侧转向手柄底座_894	1	V1.0	PC	1	0
装配成品仓	V206侧底座_894组件	1	100.0000%	外购半成品仓	V206 减震垫	1		PC	1	0
装配成品仓	V206侧底座_894组件	1	100.0000%	外购半成品仓	V206 旋转支架2	1		PC	1	0
装配成品仓	V206后底座_894组件	1	100.0000%	外购半成品仓	V206 减震垫	1		PC	1	0
装配成品仓	V206后底座_894组件	1	100.0000%	外购半成品仓	V206 旋转支架2	1		PC	1	0
装配成品仓	V206后底座_894组件	1	100.0000%	自制半成品仓	V206 后转向手柄底座_894	1	V1.0	PC	1	0
自制成品仓	673D中面框素材	1	100.0000%	原材料仓	PC+ABS-688WLV	1		千克	0.1126	0
自制成品仓	673D左喷漆面板素材	1	100.0000%	原材料仓	Beypond PC2407 GY560	1		千克	0.0264	0
自制成品仓	XC90_后左壳体_RL-新	1	100.0000%	原材料仓	CA1580 BK08010	1		千克	0.0432	0
自制成品仓	XC90_后右壳体_RR-新	1	100.0000%	原材料仓	CA1580 BK08010	1		千克	0.047	0
自制成品仓	D13 喷漆开关装饰件-素材	1	100.0000%	原材料仓	PC+ABS W2270	1		千克	0.0635	0
